AirFlow[m3/s],StaticPressureDrop[Pa]
0,375
0.001016667,371.429
0.00235,364.286
0.0037,358.333
0.004716667,352.381
0.006066667,346.429
0.0074,340.476
0.00875,334.524
0.0101,327.381
0.01145,321.429
0.0128,315.476
0.014133333,310.714
0.015483333,303.571
0.016833333,297.619
0.018183333,291.667
0.019533333,285.714
0.020883333,279.762
0.022216667,273.81
0.0239,269.048
0.02525,263.095
0.027266667,257.143
0.028616667,252.381
0.0303,247.619
0.031983333,242.857
0.034,236.905
0.03535,230.952
0.037033333,226.19
0.038383333,220.238
0.039733333,214.286
0.041416667,209.524
0.0431,203.571
0.045116667,197.619
0.047133333,192.857
0.04915,190.476
0.051183333,188.095
0.053533333,185.714
0.0559,184.524
0.05825,183.333
0.0606,182.143
0.062966667,182.143
0.065316667,180.952
0.067683333,179.762
0.070033333,177.381
0.072383333,173.81
0.07475,170.238
0.076766667,165.476
0.078783333,160.714
0.0808,154.762
0.082833333,150
0.08485,144.048
0.0862,139.286
0.087883333,134.524
0.089566667,128.571
0.090916667,122.619
0.09225,116.667
0.0936,110.714
0.095283333,103.571
0.096633333,97.619
0.097983333,90.476
0.099666667,83.333
0.101016667,76.19
0.102016667,70.238
0.103366667,63.095
0.10505,55.952
0.1064,47.619
0.10775,41.667
0.109083333,35.714
0.110433333,29.762
0.11145,25
0.1128,17.857
0.114483333,10.714
0.115483333,4.762
0.116666667,0
